RocketLogger CSV File
File Version,3
Block Size,1
Block Count,639                 
Sample Count,639                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 22:58:59 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587769344.016324522,1,-162379,-22708116,-45712271
1587769345.019769583,1,-161778,-22689258,-45711042
1587769346.023203941,1,-161431,-22653628,-45706741
1587769347.026674999,1,-161494,-22534819,-45691135
1587769348.030131697,1,-162000,-22632298,-45698754
1587769349.033580616,1,-161304,-22691221,-45705881
1587769350.037008780,1,-162443,-22694954,-45708216
1587769351.040460892,1,-160766,-22651823,-45700966
1587769352.043921832,1,-160324,-22531892,-45684991
1587769353.047356647,1,-159944,-22626655,-45692856
1587769354.050817302,1,-162411,-22666579,-45698139
1587769355.054259150,1,-165131,-22714163,-45704283
1587769356.057706853,1,-161557,-22650718,-45695928
1587769357.061155834,1,-163170,-22543231,-45682656
1587769358.064618201,1,-162632,-22612161,-45686343
1587769359.068057928,1,-161367,-22640325,-45690029
1587769360.071514470,1,-164562,-22753018,-45702932
1587769361.074948218,1,-161336,-22652681,-45691995
1587769362.078393944,1,-161304,-22596633,-45685360
1587769363.081861249,1,-164846,-22588255,-45681305
1587769364.085303698,1,-160703,-22636277,-45686097
1587769365.088758306,1,-166396,-22757417,-45699737
1587769366.092197463,1,-163708,-22656449,-45691012
1587769367.095654217,1,-161019,-22628741,-45685851
1587769368.099114451,1,-163328,-22563666,-45674915
1587769369.102528549,1,-163676,-22633420,-45682779
1587769370.105978158,1,-167914,-22744115,-45695436
1587769371.109429027,1,-164024,-22662566,-45688432
1587769372.112891425,1,-161873,-22642429,-45685606
1587769373.116388180,1,-161431,-22536151,-45672949
1587769374.119759334,1,-160766,-22626567,-45678478
1587769375.123225900,1,-162158,-22689223,-45686220
1587769376.126696581,1,-163297,-22691309,-45688923
1587769377.130134053,1,-161810,-22644251,-45681182
1587769378.133586833,1,-159691,-22531611,-45669017
1587769379.137028214,1,-160513,-22606044,-45673317
1587769380.140487673,1,-163771,-22633578,-45677987
1587769381.143931003,1,-163138,-22752948,-45691012
1587769382.147377956,1,-163518,-22651840,-45681059
1587769383.150829796,1,-162506,-22633070,-45678478
1587769384.154290961,1,-161778,-22534941,-45664716
1587769385.157697785,1,-163898,-22622554,-45672457
1587769386.161145465,1,-162221,-22663635,-45678110
1587769387.164626928,1,-164245,-22713672,-45684377
1587769388.168071927,1,-163170,-22642656,-45676389
1587769389.171514962,1,-160545,-22566821,-45666805
1587769390.174928711,1,-162221,-22585188,-45665699
1587769391.178433050,1,-160924,-22628951,-45671351
1587769392.181863107,1,-166080,-22747900,-45685483
1587769393.185329329,1,-163455,-22654171,-45676389
1587769394.188790067,1,-162664,-22635155,-45673563
1587769395.192203060,1,-160545,-22533364,-45660046
1587769396.195651811,1,-161462,-22623273,-45668771
1587769397.199129119,1,-163328,-22702000,-45676758
1587769398.202571327,1,-162696,-22671259,-45676758
1587769399.205998889,1,-159944,-22638327,-45671966
1587769400.209456238,1,-162854,-22519623,-45656729
1587769401.212917828,1,-164056,-22617068,-45664470
1587769402.216367606,1,-160798,-22671750,-45672212
1587769403.219779372,1,-162063,-22684824,-45675775
1587769404.223251185,1,-162759,-22638240,-45670245
1587769405.226704876,1,-159912,-22518484,-45655377
1587769406.230106290,1,-163107,-22611057,-45663979
1587769407.233611314,1,-162411,-22643673,-45668034
1587769408.237039055,1,-160735,-22716283,-45679216
1587769409.240484741,1,-161778,-22639659,-45669877
1587769410.243916621,1,-161083,-22547823,-45658572
1587769411.247404540,1,-161462,-22592567,-45660292
1587769412.250827354,1,-163518,-22627759,-45665207
1587769413.254294500,1,-164056,-22748794,-45679707
1587769414.257709529,1,-163486,-22648440,-45669262
1587769415.261182763,1,-161589,-22631352,-45666436
1587769416.264639730,1,-162727,-22528036,-45652059
1587769417.268058286,1,-160798,-22617594,-45661767
1587769418.271564283,1,-163202,-22659814,-45665945
1587769419.274975818,1,-161968,-22710289,-45673809
1587769420.278445955,1,-161494,-22638660,-45666067
1587769421.281867847,1,-160830,-22570431,-45656974
1587769422.285334520,1,-160861,-22573166,-45654517
1587769423.288773257,1,-162917,-22623343,-45659923
1587769424.292184496,1,-165258,-22725747,-45670860
1587769425.295668127,1,-161146,-22662776,-45666190
1587769426.299154730,1,-162411,-22634910,-45661890
1587769427.302575538,1,-162158,-22517625,-45648496
1587769428.306020006,1,-160577,-22600927,-45654762
1587769429.309476854,1,-160070,-22625481,-45656606
1587769430.312922071,1,-160893,-22744325,-45673809
1587769431.316348364,1,-162854,-22642078,-45661275
1587769432.319802538,1,-161177,-22619417,-45657589
1587769433.323203786,1,-161842,-22537325,-45645546
1587769434.326770321,1,-162095,-22619084,-45653534
1587769435.330155375,1,-164182,-22698021,-45663487
1587769436.333616473,1,-161968,-22667614,-45663733
1587769437.337057603,1,-162632,-22633000,-45658572
1587769438.340513313,1,-160070,-22512946,-45642474
1587769439.343949709,1,-162727,-22608095,-45649601
1587769440.347410221,1,-162221,-22647862,-45655131
1587769441.350850519,1,-163739,-22694341,-45663241
1587769442.354305951,1,-162031,-22632789,-45655254
1587769443.357743311,1,-159406,-22516995,-45641860
1587769444.361197427,1,-163265,-22600506,-45646529
1587769445.364635516,1,-160197,-22629897,-45652182
1587769446.368099907,1,-164751,-22717247,-45663118
1587769447.371543894,1,-164119,-22633000,-45653534
1587769448.374977969,1,-160450,-22535029,-45642597
1587769449.378460466,1,-162253,-22592444,-45645546
1587769450.381900171,1,-162000,-22622747,-45651445
1587769451.385337036,1,-161304,-22730970,-45664470
1587769452.388793246,1,-162190,-22634034,-45654148
1587769453.392257051,1,-162031,-22544423,-45642474
1587769454.395683222,1,-161209,-22590762,-45645055
1587769455.399108217,1,-165384,-22622677,-45648373
1587769456.402587276,1,-162822,-22728902,-45663487
1587769457.406034009,1,-160988,-22633578,-45655377
1587769458.409479742,1,-163739,-22534994,-45641123
1587769459.412934798,1,-162854,-22595021,-45645792
1587769460.416374756,1,-163265,-22626936,-45651445
1587769461.419827309,1,-165068,-22713725,-45663733
1587769462.423279287,1,-164846,-22632912,-45654394
1587769463.426722547,1,-163834,-22516276,-45639771
1587769464.430163228,1,-162063,-22604415,-45647758
1587769465.433626683,1,-160418,-22650666,-45654762
1587769466.437078097,1,-162000,-22678392,-45659432
1587769467.440522334,1,-160671,-22631527,-45654148
1587769468.443965633,1,-160450,-22514190,-45638911
1587769469.447414736,1,-164245,-22614702,-45649356
1587769470.450837971,1,-165511,-22702157,-45659186
1587769471.454321453,1,-160735,-22654977,-45657712
1587769472.457760951,1,-163550,-22629231,-45653411
1587769473.461228810,1,-163518,-22529123,-45640631
1587769474.464646886,1,-160482,-22618996,-45650216
1587769475.468109192,1,-164277,-22725730,-45661890
1587769476.471557238,1,-166428,-22648089,-45655500
1587769477.475003414,1,-161209,-22626550,-45652059
1587769478.478455203,1,-158236,-22535730,-45640263
1587769479.481918773,1,-160956,-22618733,-45648373
1587769480.485356467,1,-162443,-22728394,-45662012
1587769481.488811888,1,-160861,-22652348,-45664101
1587769482.492232448,1,-165416,-22623991,-45647021
1587769483.495708243,1,-161051,-22530034,-45637559
1587769484.499150209,1,-161272,-22617384,-45646775
1587769485.502591996,1,-163233,-22715723,-45658572
1587769486.506053755,1,-163771,-22653733,-45654517
1587769487.509470247,1,-161462,-22629670,-45651445
1587769488.512943433,1,-162506,-22517923,-45638542
1587769489.516389898,1,-161241,-22613914,-45647758
1587769490.519846569,1,-161525,-22683352,-45654762
1587769491.523297162,1,-162190,-22668858,-45655377
1587769492.526719948,1,-161462,-22631527,-45651813
1587769493.530190477,1,-161399,-22511824,-45636453
1587769494.533647562,1,-162569,-22607482,-45644686
1587769495.537084203,1,-160924,-22648720,-45652428
1587769496.540531742,1,-162379,-22694779,-45660046
1587769497.543990809,1,-161873,-22632509,-45652182
1587769498.547433972,1,-160134,-22520622,-45638788
1587769499.550863763,1,-161684,-22598596,-45644809
1587769500.554332025,1,-161051,-22626988,-45648987
1587769501.557774480,1,-162221,-22723714,-45662135
1587769502.561241673,1,-164530,-22634104,-45652919
1587769503.564673294,1,-161399,-22545299,-45643089
1587769504.568125228,1,-158710,-22590306,-45646284
1587769505.571578300,1,-159754,-22623833,-45649970
1587769506.575034796,1,-162759,-22741065,-45666559
1587769507.578487910,1,-159628,-22630528,-45639894
1587769508.581927330,1,-161968,-22571571,-45638296
1587769509.585345227,1,-161589,-22578125,-45644932
1587769510.588809641,1,-162474,-22625568,-45657589
1587769511.592261394,1,-160545,-22741381,-45657589
1587769512.595716867,1,-161620,-22640904,-45653657
1587769513.599164359,1,-160830,-22608954,-45647390
1587769514.602594741,1,-160007,-22553834,-45637068
1587769515.606041736,1,-161715,-22619627,-45647144
1587769516.609511018,1,-162854,-22734668,-45659801
1587769517.612961260,1,-159849,-22646214,-45651076
1587769518.616418313,1,-160735,-22626462,-45649110
1587769519.619889280,1,-161557,-22527703,-45636330
1587769520.623259425,1,-162348,-22616402,-45646898
1587769521.626758386,1,-162980,-22700913,-45654885
1587769522.630217648,1,-164372,-22659341,-45652673
1587769523.633657847,1,-162791,-22629547,-45647881
1587769524.637084544,1,-161272,-22521797,-45656729
1587769525.640562617,1,-161241,-22604064,-45638296
1587769526.643995285,1,-161968,-22643655,-45643826
1587769527.647456704,1,-161336,-22696321,-45651813
1587769528.650887081,1,-160608,-22630143,-45645792
1587769529.654324003,1,-161272,-22529315,-45633627
1587769530.657830051,1,-161589,-22587537,-45637559
1587769531.661297304,1,-160260,-22618313,-45641368
1587769532.664681345,1,-162791,-22739260,-45656483
1587769533.668140547,1,-159217,-22636715,-45647512
1587769534.671604340,1,-161209,-22605817,-45642843
1587769535.674995063,1,-160387,-22548612,-45633258
1587769536.678477841,1,-158932,-22616490,-45641860
1587769537.681931931,1,-160577,-22726869,-45653657
1587769538.685376021,1,-162885,-22646617,-45648618
1587769539.688829201,1,-159090,-22626252,-45644440
1587769540.692290854,1,-162158,-22519921,-45631292
1587769541.695719567,1,-162632,-22611740,-45640754
1587769542.699173306,1,-162885,-22685420,-45647881
1587769543.702631185,1,-162158,-22665808,-45649601
1587769544.706077346,1,-161589,-22628145,-45645178
1587769545.709496384,1,-157730,-22510054,-45630063
1587769546.712989116,1,-160830,-22597877,-45637682
1587769547.716416637,1,-159564,-22623711,-45642597
1587769548.719870455,1,-164056,-22724433,-45653779
1587769549.723327419,1,-161937,-22631685,-45644809
1587769550.726744824,1,-159944,-22573691,-45637928
1587769551.730233736,1,-165131,-22565840,-45633504
1587769552.733660489,1,-162316,-22616525,-45639894
1587769553.737113346,1,-165700,-22733774,-45653779
1587769554.740555162,1,-164277,-22643690,-45644932
1587769555.744010059,1,-158616,-22632263,-45657589
1587769556.747448557,1,-161272,-22514786,-45623796
1587769557.750901486,1,-163803,-22609199,-45637436
1587769558.754329755,1,-163265,-22671802,-45645669
1587769559.757802982,1,-163455,-22672538,-45648127
1587769560.761251467,1,-159122,-22627864,-45642474
1587769561.764705467,1,-161589,-22511299,-45629203
1587769562.768134048,1,-160070,-22595967,-45635593
1587769563.771599878,1,-161304,-22623641,-45640385
1587769564.775042168,1,-163676,-22719754,-45652551
1587769565.778498724,1,-160324,-22630195,-45643826
1587769566.781945203,1,-163644,-22556691,-45635224
1587769567.785396910,1,-161747,-22576688,-45636699
1587769568.788843397,1,-163929,-22616490,-45638419
