RocketLogger CSV File
File Version,3
Block Size,1
Block Count,727                 
Sample Count,727                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 00:55:17 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587689884.043757808,1,44469,-1113465,-85508569
1587689885.047216939,1,44880,-1052369,-85498370
1587689886.050652891,1,43710,-969874,-85480429
1587689887.054098749,1,44406,-1008326,-85482764
1587689888.057550890,1,46493,-1039242,-85491243
1587689889.060988678,1,42160,-1137336,-85512501
1587689890.064448473,1,43678,-1056015,-85498492
1587689891.067859877,1,46556,-1005996,-85490751
1587689892.071353398,1,45702,-995480,-85481658
1587689893.074791914,1,46430,-1037875,-85491120
1587689894.078256718,1,43836,-1139562,-85514467
1587689895.081699426,1,44406,-1058048,-85499844
1587689896.085124392,1,46430,-1012515,-85491857
1587689897.088586265,1,46240,-996707,-85483255
1587689898.092019406,1,43109,-1038769,-85493823
1587689899.095473862,1,44975,-1132639,-85514590
1587689900.098918302,1,43583,-1052457,-85500827
1587689901.102328944,1,44880,-953417,-85481043
1587689902.105819518,1,46841,-1027605,-85491488
1587689903.109273471,1,44943,-1111608,-85509675
1587689904.112717955,1,46430,-1064410,-85505742
1587689905.116177321,1,46493,-1014233,-85494560
1587689906.119614523,1,44785,-1009063,-85490137
1587689907.123064003,1,44880,-1054981,-85498492
1587689908.126524259,1,46303,-1082707,-85510289
1587689909.130000103,1,45861,-1044640,-85500704
1587689910.133510490,1,44975,-987768,-85485098
1587689911.136863831,1,44469,-1039383,-85496158
1587689912.140315601,1,40326,-1117391,-85517662
1587689913.143757554,1,46746,-1050775,-85505128
1587689914.147205839,1,45544,-955731,-85481412
1587689915.150640612,1,43868,-1035019,-85494069
1587689916.154094089,1,44880,-1139141,-85519136
1587689917.157541859,1,43046,-1056523,-85506603
1587689918.161014172,1,46936,-979373,-85492226
1587689919.164439115,1,44754,-1014811,-85506971
1587689920.167888127,1,42413,-1051949,-85495543
1587689921.171339854,1,44501,-1100181,-85504022
1587689922.174785810,1,45734,-1050634,-85503653
1587689923.178237971,1,46588,-953698,-85484730
1587689924.181692112,1,45671,-1033003,-85498492
1587689925.185129176,1,44311,-1123175,-85517416
1587689926.188601487,1,45861,-1066022,-85514713
1587689927.192033152,1,44912,-1038051,-85506357
1587689928.195482483,1,45323,-981862,-85491488
1587689929.198932852,1,46335,-1037244,-85503776
1587689930.202346379,1,42192,-1139334,-85525035
1587689931.205827193,1,44279,-1056138,-85512747
1587689932.209272401,1,43805,-989311,-85498861
1587689933.212711067,1,45797,-1007485,-85497141
1587689934.216143355,1,43552,-1041293,-85505128
1587689935.219601841,1,44848,-1126189,-85525895
1587689936.223061276,1,43457,-1052843,-85513238
1587689937.226507382,1,48391,-959411,-85494437
1587689938.229964365,1,44690,-1018895,-85502302
1587689939.233412273,1,46114,-1054735,-85510781
1587689940.236858935,1,46114,-1103160,-85524175
1587689941.240312689,1,47695,-1051020,-85515204
1587689942.243754823,1,45608,-951174,-85494315
1587689943.247199942,1,47885,-1028517,-85505005
1587689944.250653569,1,44785,-1092732,-85519259
1587689945.254091339,1,43773,-1076801,-85525649
1587689946.257553145,1,45133,-1047865,-85515327
1587689947.260990445,1,47189,-967491,-85500950
1587689948.264451440,1,46904,-1036578,-85511764
1587689949.267894740,1,45196,-1139702,-85533022
1587689950.271317054,1,45639,-1056558,-85520611
1587689951.274789557,1,45165,-978760,-85504759
1587689952.278234432,1,44564,-1016283,-85508692
1587689953.281685518,1,43868,-1063341,-85518522
1587689954.285141030,1,42350,-1084319,-85527247
1587689955.288578800,1,44912,-1047655,-85519874
1587689956.292023467,1,46208,-974659,-85502425
1587689957.295476869,1,46335,-1037507,-85514221
1587689958.298932135,1,44912,-1137161,-85537446
1587689959.302365525,1,41464,-1053246,-85523437
1587689960.305824038,1,46715,-956169,-85503899
1587689961.309265293,1,44564,-1025222,-85512501
1587689962.312718602,1,45165,-1092750,-85528475
1587689963.316168360,1,42034,-1073804,-85530564
1587689964.319598111,1,47094,-1044938,-85522331
1587689965.323058632,1,46114,-977323,-85505620
1587689966.326502001,1,45102,-1037227,-85518891
1587689967.329964420,1,44153,-1140210,-85542115
1587689968.333409315,1,44532,-1056173,-85530810
1587689969.336840866,1,44785,-985069,-85516433
1587689970.340320626,1,43267,-1010184,-85511149
1587689971.343758775,1,44848,-1043519,-85523806
1587689972.347205791,1,43488,-1119284,-85537814
1587689973.350654797,1,45291,-1052369,-85527738
1587689974.354102289,1,45608,-952856,-85508937
1587689975.357547964,1,45418,-1024188,-85519874
1587689976.360995054,1,44184,-1073821,-85528230
1587689977.364458036,1,46778,-1087772,-85540763
1587689978.367900531,1,43900,-1049986,-85525649
1587689979.371343149,1,45291,-956204,-85508077
1587689980.374770854,1,44754,-1034020,-85520734
1587689981.378255853,1,41781,-1129554,-85541992
1587689982.381689592,1,42255,-1063306,-85536340
1587689983.385125868,1,44817,-1025432,-85530810
1587689984.388584498,1,44943,-995690,-85515204
1587689985.392030682,1,46462,-1038892,-85524789
1587689986.395476081,1,43773,-1130115,-85546170
1587689987.398946138,1,43425,-1052755,-85532408
1587689988.402367055,1,43931,-952523,-85512009
1587689989.405835147,1,42350,-1027728,-85522086
1587689990.409303014,1,42982,-1104177,-85538552
1587689991.412718212,1,43995,-1069475,-85537446
1587689992.416167856,1,43741,-1036263,-85530564
1587689993.419629339,1,44184,-993394,-85514713
1587689994.423074757,1,44216,-1039663,-85526141
1587689995.426512775,1,43995,-1122176,-85546416
1587689996.429972292,1,44058,-1051633,-85534742
1587689997.433423291,1,43109,-951525,-85513730
1587689998.436861266,1,44437,-1032793,-85525649
1587689999.440313053,1,41622,-1127609,-85545802
1587690000.443756544,1,42160,-1062990,-85536217
1587690001.447201572,1,48802,-1024223,-85527492
1587690002.450669660,1,45766,-993640,-85518399
1587690003.454113193,1,46019,-1038156,-85526386
1587690004.457550837,1,45671,-1138948,-85548751
1587690005.461015068,1,42002,-1056032,-85534865
1587690006.464443940,1,44690,-991519,-85520734
1587690007.467892491,1,45228,-1004944,-85521717
1587690008.471343748,1,45418,-1039400,-85527492
1587690009.474797671,1,43615,-1136056,-85549119
1587690010.478237053,1,45671,-1055489,-85534742
1587690011.481681567,1,42571,-988487,-85530319
1587690012.485141462,1,42445,-1003209,-85517416
1587690013.488586509,1,44848,-1038874,-85525526
1587690014.492027621,1,44754,-1138545,-85548013
1587690015.495487967,1,45260,-1056523,-85534005
1587690016.498927231,1,47379,-1000930,-85522700
1587690017.502382365,1,43710,-999213,-85517662
