RocketLogger CSV File
File Version,3
Block Size,1
Block Count,702                 
Sample Count,702                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 22:41:33 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587682011.459646957,1,-934300,-98657082,-10125377
1587682012.463092040,1,-933446,-98732655,-10129432
1587682013.466545430,1,-933636,-98760749,-10130784
1587682014.469996194,1,-935566,-98880522,-10137665
1587682015.473443591,1,-933953,-98759698,-10131521
1587682016.476896034,1,-934111,-98644288,-10127098
1587682017.480334866,1,-934522,-98643973,-10129187
1587682018.483791424,1,-936072,-98698987,-10130292
1587682019.487236526,1,-935249,-98832431,-10134962
1587682020.490688170,1,-932687,-98716005,-10131767
1587682021.494139168,1,-932624,-98672155,-10127589
1587682022.497582236,1,-931327,-98535609,-10122551
1587682023.501040716,1,-931675,-98602699,-10123288
1587682024.504478101,1,-933605,-98762992,-10131767
1587682025.507924433,1,-935913,-98673750,-10124763
1587682026.511373550,1,-933889,-98631845,-10123780
1587682027.514820174,1,-930948,-98456497,-10114687
1587682028.518272788,1,-933446,-98549858,-10118619
1587682029.521711994,1,-935534,-98637699,-10123903
1587682030.525162838,1,-934806,-98638785,-10123657
1587682031.528623460,1,-933446,-98552522,-10117390
1587682032.532063062,1,-930442,-98410491,-10109280
1587682033.535511713,1,-933320,-98507410,-10115301
1587682034.538954452,1,-931739,-98585488,-10117390
1587682035.542408508,1,-931043,-98554625,-10117144
1587682036.545841010,1,-930568,-98499839,-10115670
1587682037.549312573,1,-930473,-98348115,-10110386
1587682038.552760773,1,-931169,-98449293,-10111492
1587682039.556211947,1,-933541,-98578653,-10117144
1587682040.559652258,1,-930726,-98479193,-10112966
1587682041.563109189,1,-930347,-98429086,-10109280
1587682042.566566228,1,-930537,-98319793,-10104119
1587682043.570003957,1,-927121,-98393438,-10106576
1587682044.573436098,1,-931517,-98535224,-10111000
1587682045.576893869,1,-931138,-98408563,-10107314
1587682046.580354351,1,-929113,-98337144,-10102767
1587682047.583795130,1,-930031,-98282603,-10099818
1587682048.587240123,1,-930568,-98331939,-10100555
1587682049.590703848,1,-930758,-98467906,-10107314
1587682050.594136225,1,-929272,-98331273,-10103259
1587682051.597594327,1,-930062,-98175641,-10095640
1587682052.601044622,1,-928734,-98252003,-10099081
1587682053.604466015,1,-927279,-98312310,-10100555
1587682054.607963821,1,-928228,-98325226,-10102030
1587682055.611378579,1,-932276,-98261922,-10099327
1587682056.614833426,1,-928797,-98095355,-10093551
1587682057.618280847,1,-928291,-98191993,-10099818
1587682058.621726467,1,-928133,-98309155,-10106208
1587682059.625177020,1,-928639,-98224837,-10100801
1587682060.628624920,1,-928544,-98173573,-10097975
1587682061.632075981,1,-926488,-98048472,-10093797
1587682062.635516306,1,-925982,-98119839,-10097975
1587682063.638963814,1,-927785,-98254614,-10104119
1587682064.642426112,1,-928354,-98141816,-10098958
1587682065.645868784,1,-925919,-98079388,-10096377
1587682066.649317987,1,-926646,-97993195,-10091339
1587682067.652776083,1,-925856,-98054975,-10094411
1587682068.656211818,1,-929082,-98195130,-10100678
1587682069.659651753,1,-926899,-98067068,-10094411
1587682070.663121485,1,-926330,-98000381,-10091831
1587682071.666564250,1,-926235,-97927350,-10088390
1587682072.669999429,1,-924717,-97983889,-10090725
1587682073.673458308,1,-929461,-98127497,-10096869
1587682074.676903457,1,-928702,-98002151,-10091708
1587682075.680346293,1,-924053,-97935096,-10087038
1587682076.683810889,1,-925982,-97868725,-10083475
1587682077.687239760,1,-923895,-97923634,-10085072
1587682078.690707213,1,-926109,-98061617,-10091585
1587682079.694150717,1,-924654,-97932257,-10083966
1587682080.697602122,1,-924749,-97846397,-10078928
1587682081.701052204,1,-924654,-97809399,-10079543
1587682082.704470145,1,-924306,-97841455,-10081509
1587682083.707958817,1,-928386,-97992950,-10087161
1587682084.711391869,1,-925919,-97851287,-10081632
1587682085.714842178,1,-921586,-97744308,-10077454
1587682086.718262611,1,-924527,-97741784,-10076471
1587682087.721721107,1,-922155,-97778764,-10080157
1587682088.725177062,1,-925286,-97915169,-10086670
1587682089.728630283,1,-922535,-97784337,-10080894
1587682090.732077835,1,-922155,-97691466,-10077945
1587682091.735523518,1,-923515,-97660533,-10077331
1587682092.738962087,1,-924780,-97708169,-10079174
1587682093.742419733,1,-924875,-97906511,-10091339
1587682094.745864286,1,-925539,-97698705,-10079788
1587682095.749322407,1,-921048,-97596353,-10073890
1587682096.752743812,1,-921870,-97585627,-10074627
1587682097.756222473,1,-920890,-97579983,-10071555
1587682098.759673372,1,-923547,-97829467,-10089373
1587682099.763115582,1,-923199,-97644146,-10079051
1587682100.766580291,1,-922155,-97555534,-10074382
1587682101.769995989,1,-923926,-97507285,-10070450
1587682102.773473501,1,-920574,-97578248,-10075856
1587682103.776919068,1,-922566,-97705032,-10080649
1587682104.780365400,1,-923831,-97582910,-10074996
1587682105.783815695,1,-921301,-97563631,-10074013
1587682106.787250642,1,-921175,-97425596,-10065289
1587682107.790702165,1,-922946,-97513647,-10066763
1587682108.794154574,1,-921333,-97561633,-10069589
1587682109.797603237,1,-923199,-97625919,-10071924
1587682110.801049998,1,-920890,-97545965,-10067377
1587682111.804587129,1,-917537,-97413258,-10060005
1587682112.807972163,1,-919846,-97405476,-10059513
1587682113.811407177,1,-920416,-97464609,-10064305
1587682114.814832661,1,-924274,-97607797,-10068975
1587682115.818297163,1,-920131,-97481557,-10062339
1587682116.821755566,1,-920510,-97449747,-10061233
1587682117.825197637,1,-919245,-97311484,-10054352
1587682118.828632537,1,-919119,-97400183,-10057793
1587682119.832104438,1,-919087,-97463558,-10059759
1587682120.835537442,1,-922250,-97499994,-10060496
1587682121.838959629,1,-922756,-97424001,-10057424
1587682122.842451623,1,-920036,-97276257,-10050297
1587682123.845859431,1,-920321,-97336143,-10049437
1587682124.849333049,1,-919309,-97372475,-10051649
1587682125.852777157,1,-922819,-97515067,-10057056
1587682126.856238932,1,-919593,-97389422,-10048822
1587682127.859680743,1,-920637,-97320703,-10047471
1587682128.863127234,1,-917284,-97264164,-10041818
1587682129.866576591,1,-918296,-97327590,-10044399
1587682130.870022637,1,-921997,-97463172,-10051403
1587682131.873470773,1,-919625,-97367427,-10045136
1587682132.876925850,1,-919309,-97320860,-10043047
1587682133.880409702,1,-920004,-97181441,-10035428
1587682134.883826209,1,-918929,-97278062,-10039115
1587682135.887273000,1,-920289,-97382254,-10043416
1587682136.890701178,1,-919498,-97340402,-10042064
1587682137.894160682,1,-920732,-97290470,-10039729
1587682138.897592859,1,-917980,-97132981,-10031373
1587682139.901070154,1,-919498,-97232143,-10034077
1587682140.904520506,1,-921491,-97324103,-10038746
1587682141.907933535,1,-918581,-97299373,-10038992
1587682142.911405302,1,-920226,-97245744,-10035306
1587682143.914849174,1,-914849,-97090235,-10025352
1587682144.918323413,1,-919562,-97174570,-10031742
1587682145.921770652,1,-919593,-97271980,-10032971
1587682146.925200856,1,-919846,-97273049,-10032848
1587682147.928663844,1,-918075,-97222048,-10031005
1587682148.932104811,1,-915545,-97063105,-10021789
1587682149.935575591,1,-919593,-97180284,-10028916
1587682150.939019164,1,-918455,-97269667,-10029776
1587682151.942414543,1,-919277,-97209307,-10024492
1587682152.945884500,1,-917316,-97184946,-10024001
1587682153.949341643,1,-916336,-97034344,-10016259
1587682154.952775217,1,-915956,-97137906,-10022034
1587682155.956247950,1,-919688,-97304158,-10030267
1587682156.959669650,1,-918518,-97158113,-10021297
1587682157.963146448,1,-918771,-97024828,-10015768
1587682158.966587164,1,-916019,-97062193,-10014416
1587682159.970023378,1,-915988,-97173168,-10023755
1587682160.973501200,1,-917126,-97101276,-10016873
1587682161.976906445,1,-917537,-97106271,-10018840
1587682162.980408595,1,-914849,-97015364,-10014907
1587682163.983828535,1,-917790,-97039252,-10009992
1587682164.987280398,1,-918929,-97210727,-10021051
