RocketLogger CSV File
File Version,3
Block Size,1
Block Count,728                 
Sample Count,728                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 00:09:59 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587687174.910425788,1,-18565,-8405289,-76327530
1587687175.913863880,1,-16478,-8312156,-76306272
1587687176.917315237,1,-15561,-8371464,-76314505
1587687177.920768429,1,-16541,-8399243,-76323966
1587687178.924235583,1,-17838,-8478057,-76343627
1587687179.927646288,1,-15814,-8406831,-76330110
1587687180.931110354,1,-15023,-8327929,-76310818
1587687181.934561180,1,-16351,-8364190,-76313767
1587687182.938019933,1,-14865,-8394037,-76322369
1587687183.941479654,1,-18249,-8487767,-76347068
1587687184.944895614,1,-16003,-8408514,-76330233
1587687185.948362461,1,-15118,-8344614,-76314873
1587687186.951814224,1,-17142,-8357355,-76311678
1587687187.955240670,1,-15308,-8393091,-76321509
1587687188.958698639,1,-17047,-8492288,-76347928
1587687189.962175854,1,-17490,-8410354,-76330479
1587687190.965580097,1,-15434,-8366276,-76320649
1587687191.969053894,1,-16541,-8346542,-76310941
1587687192.972507697,1,-17237,-8391864,-76322369
1587687193.975969753,1,-19483,-8492621,-76345471
1587687194.979365451,1,-17775,-8414245,-76333797
1587687195.982870429,1,-15181,-8388464,-76325932
1587687196.986310008,1,-15909,-8329717,-76309344
1587687197.989750238,1,-17711,-8390252,-76323106
1587687198.993221337,1,-16921,-8476883,-76341907
1587687199.996637555,1,-18882,-8427424,-76336869
1587687201.000086868,1,-16573,-8403939,-76331216
1587687202.003544492,1,-16067,-8305864,-76307009
1587687203.007010686,1,-17427,-8378614,-76319666
1587687204.010428918,1,-10785,-8404500,-76328021
1587687205.013894135,1,-18723,-8480230,-76348788
1587687206.017327137,1,-17490,-8408549,-76331462
1587687207.020784906,1,-16636,-8357303,-76321509
1587687208.024227125,1,-17332,-8344351,-76315119
1587687209.027684945,1,-15845,-8391759,-76326178
1587687210.031163645,1,-19071,-8482894,-76345716
1587687211.034581919,1,-17964,-8425830,-76340678
1587687212.038030639,1,-14390,-8403869,-76331339
1587687213.041469705,1,-12904,-8305758,-76310572
1587687214.044931000,1,-18439,-8377983,-76323966
1587687215.048392123,1,-15624,-8402134,-76330356
1587687216.051823594,1,-19483,-8483385,-76350877
1587687217.055281004,1,-14707,-8409600,-76336746
1587687218.058716830,1,-16763,-8368291,-76326793
1587687219.062186911,1,-15466,-8337253,-76315488
1587687220.065601773,1,-14770,-8390602,-76328390
1587687221.069068887,1,-16668,-8466350,-76344242
1587687222.072508922,1,-16098,-8440043,-76345716
1587687223.075959675,1,-18597,-8405745,-76335394
1587687224.079410606,1,-15782,-8317326,-76315488
1587687225.082867205,1,-16162,-8362666,-76322123
1587687226.086302182,1,-15561,-8393161,-76330725
1587687227.089762426,1,-19293,-8493585,-76352352
1587687228.093192673,1,-16763,-8418206,-76339941
1587687229.096649089,1,-15529,-8400995,-76336132
1587687230.100100557,1,-15149,-8311192,-76312907
1587687231.103554288,1,-18565,-8384275,-76327161
1587687232.106989697,1,-15149,-8420607,-76335517
1587687233.110493570,1,-18692,-8468383,-76349771
1587687234.113909472,1,-17300,-8407743,-76337360
1587687235.117335231,1,-15213,-8348890,-76324335
1587687236.120794032,1,-16003,-8344982,-76318682
1587687237.124245836,1,-17269,-8391514,-76331831
1587687238.127672793,1,-17205,-8473588,-76347805
1587687239.131142666,1,-15814,-8435224,-76344979
1587687240.134585803,1,-16509,-8405464,-76337483
1587687241.138034239,1,-16098,-8314224,-76316716
1587687242.141487418,1,-17933,-8363927,-76323598
1587687243.144945380,1,-18534,-8393266,-76331093
1587687244.148389283,1,-15845,-8490641,-76353704
1587687245.151836966,1,-18660,-8424112,-76344610
1587687246.155280286,1,-16794,-8404430,-76337975
1587687247.158727276,1,-16320,-8307301,-76319543
1587687248.162169534,1,-17174,-8373111,-76325810
1587687249.165651820,1,-16889,-8396386,-76334165
1587687250.169090067,1,-17585,-8491675,-76359725
1587687251.172524345,1,-18186,-8412440,-76343750
1587687252.175970073,1,-19198,-8386764,-76338466
1587687253.179416540,1,-19166,-8327964,-76319297
1587687254.182866760,1,-15561,-8390479,-76334288
1587687255.186313788,1,-13568,-8468173,-76352352
1587687256.189758230,1,-17743,-8432612,-76349034
1587687257.193214823,1,-15497,-8405131,-76342398
